"","Year","Day of Week","Month","Day","Time (ET)","Game Type","Home Team","Away Team","Arena","City","State","Attendance"
"5938","2023","Tuesday","September","19","7:00 PM","First Round","New York Liberty","Washington Mystics","Barclays Center","Brooklyn","NY","9256"
"5939","2023","Tuesday","September","19","9:00 PM","First Round","Dallas Wings","Atlanta Dream","College Park Center","Arlington","TX","4798"
"5940","2023","Wednesday","September","20","8:00 PM","First Round","Minnesota Lynx","Connecticut Sun","Target Center","Minneapolis","MN","8724"
"5941","2023","Sunday","September","24","5:00 PM","Semifinals","Las Vegas Aces","Dallas Wings","Michelob ULTRA Arena","Las Vegas","NV","9784"
"5942","2023","Tuesday","September","26","10:00 PM","Semifinals","Las Vegas Aces","Dallas Wings","Michelob ULTRA Arena","Las Vegas","NV","9286"
"5943","2023","Friday","September","29","5:00 AM","Semifinals","Dallas Wings","Las Vegas Aces","College Park Center","Arlington","TX","6251"
"5944","2023","Sunday","September","24","1:00 PM","Semifinals","New York Liberty","Connecticut Sun","Barclays Center","Brooklyn","NY","9442"
"5945","2023","Tuesday","September","26","8:00 PM","Semifinals","New York Liberty","Connecticut Sun","Barclays Center","Brooklyn","NY","10009"
"5946","2023","Friday","September","29","3:00 AM","Semifinals","Connecticut Sun","New York Liberty","Mohegan Sun Arena","Uncasville","CT","9162"
"5947","2023","Sunday","October","1","3:00 PM","Semifinals","Connecticut Sun","New York Liberty","Mohegan Sun Arena","Uncasville","CT","8196"
"5948","2023","Sunday","October","8","3:00 PM","Finals","Las Vegas Aces","New York Liberty","Michelob ULTRA Arena","Las Vegas","NV","10300"
"5949","2023","Wednesday","October","11","9:00 PM","Finals","Las Vegas Aces","New York Liberty","Michelob ULTRA Arena","Las Vegas","NV","10232"
"5950","2023","Sunday","October","15","3:00 PM","Finals","New York Liberty","Las Vegas Aces","Barclays Center","Brooklyn","NY","17143"
"5951","2023","Wednesday","October","18","8:00 PM","Finals","New York Liberty","Las Vegas Aces","Barclays Center","Brooklyn","NY","16851"
"5952","2024","Tuesday","May","14","7:00 PM","Regular season","Washington Mystics","New York Liberty","Entertainment and Sports Arena","Washington","DC","4200"
"5953","2024","Tuesday","May","14","3:00 AM","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT","8910"
"5954","2024","Tuesday","May","14","10:00 PM","Regular season","Las Vegas Aces","Phoenix Mercury","Michelob ULTRA Arena","Las Vegas","NV","10419"
"5955","2024","Tuesday","May","14","10:00 PM","Regular season","Seattle Storm","Minnesota Lynx","Climate Pledge Arena","Seattle","WA","8508"
"5956","2024","Wednesday","May","15","8:00 PM","Regular season","Dallas Wings","Chicago Sky","College Park Center","Arlington","TX","6251"
"5957","2024","Wednesday","May","15","10:00 PM","Regular season","Los Angeles Sparks","Atlanta Dream","Walter Pyramid at Long Beach State","Long Beach","CA","3847"
"5958","2024","Thursday","May","16","7:00 PM","Regular season","Indiana Fever","New York Liberty","Gainbridge Fieldhouse","Indianapolis","IN","17274"
"5959","2024","Friday","May","17","3:00 AM","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT","6874"
"5960","2024","Friday","May","17","5:00 AM","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN","7208"
"5961","2024","Saturday","May","18","1:00 PM","Regular season","New York Liberty","Indiana Fever","Barclays Center","Brooklyn","NY","17735"
"5962","2024","Saturday","May","18","3:00 PM","Regular season","Las Vegas Aces","Los Angeles Sparks","Michelob ULTRA Arena","Las Vegas","NV","10286"
"5963","2024","Saturday","May","18","8:00 PM","Regular season","Dallas Wings","Chicago Sky","College Park Center","Arlington","TX","6251"
"5964","2024","Saturday","May","18","10:00 PM","Regular season","Phoenix Mercury","Atlanta Dream","Footprint Center","Phoenix","AZ","10251"
"5965","2024","Sunday","May","19","3:00 PM","Regular season","Washington Mystics","Seattle Storm","Entertainment and Sports Arena","Washington","DC","4200"
"5966","2024","Monday","May","20","7:00 PM","Regular season","Indiana Fever","Connecticut Sun","Gainbridge Fieldhouse","Indianapolis","IN","17274"
"5967","2024","Monday","May","20","7:00 PM","Regular season","New York Liberty","Seattle Storm","Barclays Center","Brooklyn","NY","9381"
"5968","2024","Tuesday","May","21","3:00 AM","Regular season","Atlanta Dream","Dallas Wings","Gateway Center Arena @ College Park","Atlanta","GA","3265"
"5969","2024","Tuesday","May","21","10:00 PM","Regular season","Las Vegas Aces","Phoenix Mercury","Michelob ULTRA Arena","Las Vegas","NV","10374"
"5970","2024","Tuesday","May","21","10:00 PM","Regular season","Los Angeles Sparks","Washington Mystics","Walter Pyramid at Long Beach State","Long Beach","CA","3627"
"5971","2024","Wednesday","May","22","10:00 PM","Regular season","Seattle Storm","Indiana Fever","Climate Pledge Arena","Seattle","WA","18343"
"5972","2024","Thursday","May","23","7:00 PM","Regular season","Connecticut Sun","Minnesota Lynx","Mohegan Sun Arena","Uncasville","CT","6152"
"5973","2024","Thursday","May","23","7:00 PM","Regular season","New York Liberty","Chicago Sky","Barclays Center","Brooklyn","NY","12049"
"5974","2024","Thursday","May","23","10:00 PM","Regular season","Phoenix Mercury","Washington Mystics","Footprint Center","Phoenix","AZ","7474"
"5975","2024","Friday","May","24","10:00 PM","Regular season","Los Angeles Sparks","Indiana Fever","Crypto.com Arena","Los Angeles","CA","19103"
"5976","2024","Saturday","May","25","1:00 PM","Regular season","Minnesota Lynx","New York Liberty","Target Center","Minneapolis","MN","7010"
"5977","2024","Saturday","May","25","8:00 PM","Regular season","Chicago Sky","Connecticut Sun","Wintrust Arena","Chicago","IL","9025"
"5978","2024","Saturday","May","25","9:00 PM","Regular season","Las Vegas Aces","Indiana Fever","Michelob ULTRA Arena","Las Vegas","NV","10399"
"5979","2024","Saturday","May","25","9:00 PM","Regular season","Seattle Storm","Washington Mystics","Climate Pledge Arena","Seattle","WA","8846"
"5980","2024","Saturday","May","25","10:00 PM","Regular season","Phoenix Mercury","Dallas Wings","Footprint Center","Phoenix","AZ","8339"
"5981","2024","Sunday","May","26","6:00 PM","Regular season","Atlanta Dream","Minnesota Lynx","Gateway Center Arena @ College Park","Atlanta","GA","3265"
"5982","2024","Sunday","May","26","9:00 PM","Regular season","Los Angeles Sparks","Dallas Wings","Crypto.com Arena","Los Angeles","CA","10340"
"5983","2024","Tuesday","May","28","7:00 PM","Regular season","Connecticut Sun","Phoenix Mercury","Mohegan Sun Arena","Uncasville","CT","6489"
"5984","2024","Tuesday","May","28","7:00 PM","Regular season","Indiana Fever","Los Angeles Sparks","Gainbridge Fieldhouse","Indianapolis","IN","16013"
"5985","2024","Tuesday","May","28","8:00 PM","Regular season","Chicago Sky","Seattle Storm","Wintrust Arena","Chicago","IL","7807"
"5986","2024","Wednesday","May","29","7:00 PM","Regular season","New York Liberty","Phoenix Mercury","Barclays Center","Brooklyn","NY","9182"
"5987","2024","Wednesday","May","29","7:00 PM","Regular season","Washington Mystics","Atlanta Dream","Entertainment and Sports Arena","Washington","DC","4200"
"5988","2024","Wednesday","May","29","8:00 PM","Regular season","Minnesota Lynx","Las Vegas Aces","Target Center","Minneapolis","MN","7409"
"5989","2024","Thursday","May","30","7:00 PM","Regular season","Indiana Fever","Seattle Storm","Gainbridge Fieldhouse","Indianapolis","IN","15022"
"5990","2024","Thursday","May","30","8:00 PM","Regular season","Chicago Sky","Los Angeles Sparks","Wintrust Arena","Chicago","IL","7911"
"5991","2024","Friday","May","31","3:00 AM","Regular season","Atlanta Dream","Las Vegas Aces","Gateway Center Arena @ College Park","Atlanta","GA","4015"
"5992","2024","Friday","May","31","3:00 AM","Regular season","Connecticut Sun","Dallas Wings","Mohegan Sun Arena","Uncasville","CT","7638"
"5993","2024","Friday","May","31","3:00 AM","Regular season","New York Liberty","Washington Mystics","Barclays Center","Brooklyn","NY","9878"
"5994","2024","Friday","May","31","5:00 AM","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN","7035"
"5995","2024","Saturday","June","1","12:00 PM","Regular season","Indiana Fever","Chicago Sky","Gainbridge Fieldhouse","Indianapolis","IN","17274"
"5996","2024","Sunday","June","2","3:00 PM","Regular season","Atlanta Dream","Connecticut Sun","Gateway Center Arena @ College Park","Atlanta","GA","3265"
"5997","2024","Sunday","June","2","7:00 PM","Regular season","New York Liberty","Indiana Fever","Barclays Center","Brooklyn","NY","17401"
"5998","2024","Sunday","June","2","7:00 PM","Regular season","Minnesota Lynx","Dallas Wings","Target Center","Minneapolis","MN","7024"
"5999","2024","Sunday","June","2","6:00 PM","Regular season","Phoenix Mercury","Los Angeles Sparks","Footprint Center","Phoenix","AZ","10207"
"6000","2024","Tuesday","June","4","7:00 PM","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT","5346"
"6001","2024","Tuesday","June","4","8:00 PM","Regular season","Chicago Sky","New York Liberty","Wintrust Arena","Chicago","IL","8277"
"6002","2024","Tuesday","June","4","10:00 PM","Regular season","Seattle Storm","Phoenix Mercury","Climate Pledge Arena","Seattle","WA","8133"
"6003","2024","Wednesday","June","5","8:00 PM","Regular season","Dallas Wings","Las Vegas Aces","College Park Center","Arlington","TX","6251"
"6004","2024","Wednesday","June","5","10:00 PM","Regular season","Los Angeles Sparks","Minnesota Lynx","Crypto.com Arena","Los Angeles","CA","8104"
"6005","2024","Thursday","June","6","7:00 PM","Regular season","Washington Mystics","Chicago Sky","Capital One Arena","Washington","DC","10000"
"6006","2024","Thursday","June","6","3:00 AM","Regular season","Atlanta Dream","New York Liberty","Gateway Center Arena @ College Park","Atlanta","GA","3255"
"6007","2024","Friday","June","7","3:00 AM","Regular season","Washington Mystics","Indiana Fever","Capital One Arena","Washington","DC","20333"
"6008","2024","Friday","June","7","10:00 PM","Regular season","Las Vegas Aces","Seattle Storm","Michelob ULTRA Arena","Las Vegas","NV","10380"
"6009","2024","Friday","June","7","10:00 PM","Regular season","Los Angeles Sparks","Dallas Wings","Crypto.com Arena","Los Angeles","CA","10123"
"6010","2024","Friday","June","7","10:00 PM","Regular season","Phoenix Mercury","Minnesota Lynx","Footprint Center","Phoenix","AZ","9052"
"6011","2024","Saturday","June","8","1:00 PM","Regular season","Connecticut Sun","New York Liberty","Mohegan Sun Arena","Uncasville","CT","8910"
"6012","2024","Saturday","June","8","5:00 PM","Regular season","Chicago Sky","Atlanta Dream","Wintrust Arena","Chicago","IL","8804"
"6013","2024","Sunday","June","9","3:00 PM","Regular season","New York Liberty","Washington Mystics","Barclays Center","Brooklyn","NY","12477"
"6014","2024","Sunday","June","9","4:00 PM","Regular season","Dallas Wings","Phoenix Mercury","College Park Center","Arlington","TX","5568"
"6015","2024","Sunday","June","9","7:00 PM","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN","7121"
"6016","2024","Sunday","June","9","9:00 PM","Regular season","Los Angeles Sparks","Las Vegas Aces","Crypto.com Arena","Los Angeles","CA","13900"
"6017","2024","Monday","June","10","7:00 PM","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT","8910"
"6018","2024","Tuesday","June","11","3:00 AM","Regular season","Atlanta Dream","Washington Mystics","Gateway Center Arena @ College Park","Atlanta","GA","3260"
"6019","2024","Tuesday","June","11","10:00 PM","Regular season","Las Vegas Aces","Minnesota Lynx","Michelob ULTRA Arena","Las Vegas","NV","10368"
"6020","2024","Tuesday","June","11","10:00 PM","Regular season","Seattle Storm","Los Angeles Sparks","Climate Pledge Arena","Seattle","WA","8202"
"6021","2024","Wednesday","June","12","8:00 PM","Regular season","Chicago Sky","Connecticut Sun","Wintrust Arena","Chicago","IL","7815"
"6022","2024","Thursday","June","13","7:00 PM","Regular season","Indiana Fever","Atlanta Dream","Gainbridge Fieldhouse","Indianapolis","IN","16651"
"6023","2024","Thursday","June","13","7:00 PM","Regular season","Dallas Wings","Seattle Storm","College Park Center","Arlington","TX","5568"
"6024","2024","Thursday","June","13","10:00 PM","Regular season","Phoenix Mercury","Las Vegas Aces","Footprint Center","Phoenix","AZ","9325"
"6025","2024","Friday","June","14","3:00 AM","Regular season","Washington Mystics","Chicago Sky","Entertainment and Sports Arena","Washington","DC","4200"
"6026","2024","Friday","June","14","3:00 AM","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN","8117"
"6027","2024","Saturday","June","15","1:00 PM","Regular season","Dallas Wings","Connecticut Sun","College Park Center","Arlington","TX","5977"
"6028","2024","Saturday","June","15","3:00 PM","Regular season","Las Vegas Aces","New York Liberty","Michelob ULTRA Arena","Las Vegas","NV","10424"
"6029","2024","Sunday","June","16","3:00 PM","Regular season","Phoenix Mercury","Seattle Storm","Footprint Center","Phoenix","AZ","9444"
"6030","2024","Sunday","June","16","12:00 PM","Regular season","Indiana Fever","Chicago Sky","Gainbridge Fieldhouse","Indianapolis","IN","17274"
"6031","2024","Sunday","June","16","3:00 PM","Regular season","Atlanta Dream","Los Angeles Sparks","Gateway Center Arena @ College Park","Atlanta","GA","3260"
"6032","2024","Monday","June","17","8:00 PM","Regular season","Minnesota Lynx","Dallas Wings","Target Center","Minneapolis","MN","8314"
"6033","2024","Tuesday","June","18","7:00 PM","Regular season","Connecticut Sun","Los Angeles Sparks","Mohegan Sun Arena","Uncasville","CT","7853"
"6034","2024","Tuesday","June","18","10:00 PM","Regular season","Phoenix Mercury","New York Liberty","Footprint Center","Phoenix","AZ","9824"
"6035","2024","Wednesday","June","19","7:00 PM","Regular season","Indiana Fever","Washington Mystics","Gainbridge Fieldhouse","Indianapolis","IN","17274"
"6036","2024","Wednesday","June","19","8:00 PM","Regular season","Minnesota Lynx","Atlanta Dream","Target Center","Minneapolis","MN","8206"
"6037","2024","Wednesday","June","19","10:00 PM","Regular season","Las Vegas Aces","Seattle Storm","Michelob ULTRA Arena","Las Vegas","NV","10380"
"6038","2024","Thursday","June","20","12:00 PM","Regular season","Chicago Sky","Dallas Wings","Wintrust Arena","Chicago","IL","9025"
"6039","2024","Thursday","June","20","7:00 PM","Regular season","New York Liberty","Los Angeles Sparks","Barclays Center","Brooklyn","NY","10955"
"6040","2024","Friday","June","21","3:00 AM","Regular season","Atlanta Dream","Indiana Fever","State Farm Arena","Atlanta","GA","17575"
"6041","2024","Friday","June","21","10:00 PM","Regular season","Las Vegas Aces","Connecticut Sun","Michelob ULTRA Arena","Las Vegas","NV","10385"
"6042","2024","Saturday","June","22","3:00 PM","Regular season","Washington Mystics","Dallas Wings","Entertainment and Sports Arena","Washington","DC","4200"
"6043","2024","Saturday","June","22","3:00 PM","Regular season","New York Liberty","Los Angeles Sparks","Barclays Center","Brooklyn","NY","13639"
"6044","2024","Saturday","June","22","8:00 PM","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN","8769"
"6045","2024","Sunday","June","23","3:00 PM","Regular season","Atlanta Dream","New York Liberty","Gateway Center Arena @ College Park","Atlanta","GA","3260"
"6046","2024","Sunday","June","23","3:00 PM","Regular season","Washington Mystics","Dallas Wings","Entertainment and Sports Arena","Washington","DC","4200"
"6047","2024","Sunday","June","23","4:00 PM","Regular season","Chicago Sky","Indiana Fever","Wintrust Arena","Chicago","IL","9872"
"6048","2024","Sunday","June","23","3:00 PM","Regular season","Seattle Storm","Connecticut Sun","Climate Pledge Arena","Seattle","WA","9935"
"6049","2024","Thursday","June","27","1:00 PM","Regular season","Dallas Wings","Minnesota Lynx","College Park Center","Arlington","TX","6251"
"6050","2024","Thursday","June","27","7:00 PM","Regular season","Washington Mystics","Connecticut Sun","Entertainment and Sports Arena","Washington","DC","4200"
"6051","2024","Thursday","June","27","7:00 PM","Regular season","Chicago Sky","Las Vegas Aces","Wintrust Arena","Chicago","IL","9025"
